mode,state,date,dem,rep,sigma,pollster
president,AK,2008-09-09,33.0,64.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AK,2008-09-10,39.0,55.0,4.08,American Research Group
president,AK,2008-09-19,37.0,55.0,4.08,Fairleigh Dickinson University
president,AK,2008-10-06,40.0,55.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AK,2008-10-05,38.0,55.0,4.47,Alaska Survey Research
president,AK,2008-10-18,42.0,53.0,4.47,Alaska Survey Research
president,AK,2008-10-28,41.0,57.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AK,2008-10-26,37.0,56.0,4.52,Dittman Research
president,AK,2008-10-25,38.0,55.0,5,YouGov
president,AK,2008-11-02,44.6,48.3,5,Hays Research Group
president,AK,2008-11-02,43.0,55.0,4.08,American Research Group
president,AL,2008-09-06,35.0,55.0,4.06,Capital Survey Research Center
president,AL,2008-09-15,36.0,58.0,4.08,American Research Group
president,AL,2008-09-12,25.0,52.0,4.96,University of South Alabama Polling Group
president,AL,2008-09-16,34.0,64.0,3.91,SurveyUSA
president,AL,2008-09-22,39.0,60.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AL,2008-10-04,35.0,55.0,4.25,Capital Survey Research Center
president,AL,2008-10-08,35.0,62.0,3.79,SurveyUSA
president,AL,2008-10-15,34.0,54.0,4.06,Capital Survey Research Center
president,AL,2008-10-27,36.0,61.0,3.92,SurveyUSA
president,AL,2008-10-25,39.0,57.0,4.7,YouGov
president,AR,2008-09-22,42.0,51.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AR,2008-09-21,41.0,53.0,4.08,American Research Group
president,AR,2008-10-11,36.0,51.0,3.76,University of Arkansas Department of Political Science
president,AR,2008-10-27,44.0,54.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AR,2008-10-30,44.0,51.0,4.08,American Research Group
president,AR,2008-10-25,41.0,53.0,4.51,YouGov
president,AZ,2008-09-13,39.0,56.0,4.08,American Research Group
president,AZ,2008-09-27,38.0,45.0,3.2,Arizona State University Morrison Institute for Public Policy
president,AZ,2008-09-29,38.0,59.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AZ,2008-10-18,42.0,44.0,4.95,Zimmerman & Associates/Marketing Intelligence
president,AZ,2008-10-23,44.0,48.0,4.08,Grove Insight
president,AZ,2008-10-26,46.0,51.0,4.47,Scott Rasmussen (Rasmussen Reports)
president,AZ,2008-10-25,44.0,46.0,3.13,Arizona State University Morrison Institute for Public Policy
president,AZ,2008-10-22,41.0,49.0,4.08,Northern Arizona University Social Research Laboratory
