mode,state,date,dem,rep,pollster,sigma
governor,IN,2012-09-11,34.0,49.0,YouGov,3
governor,IN,2012-10-08,38.0,49.0,YouGov,3
governor,MO,2012-09-11,51.0,33.0,YouGov,3
governor,MO,2012-10-02,54.0,35.0,Public Policy Polling,3
governor,MO,2012-10-08,54.0,36.0,YouGov,3
governor,MO,2012-10-20,51.0,40.0,Public Policy Polling,3
governor,MO,2012-10-24,48.0,42.0,Mason-Dixon Polling & Strategy,3
governor,MO,2012-10-31,48.0,39.0,SurveyUSA,3
governor,MO,2012-11-02,53.0,45.0,Public Policy Polling,3
governor,MT,2012-09-10,44.0,39.0,Public Policy Polling,3
governor,MT,2012-09-18,44.0,43.0,Mason-Dixon Polling & Strategy,3
governor,MT,2012-10-09,42.0,43.0,Public Policy Polling,3
governor,MT,2012-10-30,46.0,49.0,Mason-Dixon Polling & Strategy,3
governor,MT,2012-11-02,48.0,48.0,Public Policy Polling,3
governor,NC,2012-09-11,33.0,49.0,YouGov,3
governor,NC,2012-09-18,38.0,49.0,National Research,3
governor,NC,2012-09-24,39.0,52.0,Marist College,3
governor,NC,2012-09-29,37.0,47.0,Public Policy Polling,3
governor,NC,2012-09-30,39.0,51.0,SurveyUSA,3
governor,NC,2012-10-07,33.3,49.6,Gravis Marketing,3
governor,NC,2012-10-08,34.0,50.0,YouGov,3
governor,NC,2012-10-12,37.0,51.0,The Tyson Group,3
governor,NC,2012-10-13,37.0,47.0,Public Policy Polling,3
governor,NC,2012-10-24,37.0,50.0,Public Policy Polling,3
governor,NC,2012-10-28,36.0,53.0,SurveyUSA,3
governor,NC,2012-10-30,39.0,50.0,Public Policy Polling,3
governor,NC,2012-11-03,43.0,50.0,Public Policy Polling,3
governor,ND,2012-10-04,24.0,62.0,Mason-Dixon Polling & Strategy,3
governor,ND,2012-10-27,28.0,62.0,Mason-Dixon Polling & Strategy,3
governor,NH,2012-09-16,45.0,47.0,American Research Group,3
governor,NH,2012-09-24,51.0,44.0,Public Policy Polling,3
governor,NH,2012-09-24,47.0,45.0,Marist College,3
governor,NH,2012-09-29,42.0,40.0,University of New Hampshire Survey Center,3
governor,NH,2012-10-03,35.0,39.0,University of New Hampshire Survey Center,3
governor,NH,2012-10-10,40.0,46.0,American Research Group,3
governor,NH,2012-10-13,41.0,38.0,Suffolk University,3
governor,NH,2012-10-18,45.0,43.0,Public Policy Polling,3
governor,NH,2012-10-19,49.0,44.0,Marist College,3
governor,NH,2012-10-19,43.0,35.0,University of New Hampshire Survey Center,3
governor,NH,2012-10-24,45.0,45.0,New England College Polling Center,3
governor,NH,2012-10-27,48.0,44.0,Public Policy Polling,3
governor,NH,2012-10-28,49.0,44.0,Marist College,3
governor,NH,2012-11-01,47.0,42.0,University of New Hampshire Survey Center,3
governor,NH,2012-11-03,51.0,47.0,Public Policy Polling,3
governor,NH,2012-11-03,47.0,45.0,New England College Polling Center,3
governor,NH,2012-11-03,49.0,40.0,University of New Hampshire Survey Center,3
governor,UT,2012-10-29,24.0,69.0,Dan Jones & Associates,3
governor,WA,2012-09-08,49.0,44.0,SurveyUSA,3
governor,WA,2012-09-08,48.0,42.0,Public Policy Polling,3
governor,WA,2012-09-11,44.0,41.0,Elway Research,3
governor,WA,2012-09-11,47.0,43.0,YouGov,3
governor,WA,2012-09-29,48.0,42.0,SurveyUSA,3
governor,WA,2012-10-08,49.0,39.0,YouGov,3
governor,WA,2012-10-13,47.0,44.0,SurveyUSA,3
governor,WA,2012-10-15,48.0,42.0,Public Policy Polling,3
governor,WA,2012-10-20,45.0,47.0,Elway Research,3
governor,WA,2012-10-30,47.0,46.0,SurveyUSA,3
governor,WA,2012-11-02,50.0,48.0,Public Policy Polling,3
governor,WI,2012-04-14,45.0,50.0,Public Policy Polling,3
governor,WI,2012-05-11,44.0,50.0,Marquette University Law School,3
governor,WI,2012-05-12,45.0,49.0,Public Policy Polling,3
governor,WI,2012-05-13,43.0,52.0,We Ask America,3
governor,WI,2012-05-16,42.0,50.0,Princeton Survey Research Associates International,3
governor,WI,2012-05-23,42.0,54.0,We Ask America,3
governor,WI,2012-05-25,45.0,52.0,Marquette University Law School,3
governor,WI,2012-06-01,46.0,51.0,Angus Reid Global,3
governor,WI,2012-06-02,47.0,50.0,Public Policy Polling,3
governor,WI,2012-06-03,42.0,54.0,We Ask America,3
president,AZ,2012-09-08,44.0,53.0,Public Policy Polling,3
president,AZ,2012-09-11,41.0,51.0,YouGov,3
president,AZ,2012-09-25,42.0,46.0,Moore Information Group,3
president,AZ,2012-10-02,41.0,52.0,Public Policy Polling,3
president,AZ,2012-10-08,43.0,52.0,YouGov,3
president,AZ,2012-11-02,46.0,53.0,Public Policy Polling,3
president,AZ,2012-11-02,44.0,52.0,YouGov,3
president,CA,2012-09-10,57.0,35.0,SurveyUSA,3
president,CA,2012-09-11,56.0,39.0,YouGov,3
president,CA,2012-09-12,58.0,34.0,Field Research Corp. (Field Poll),3
president,CA,2012-09-13,53.0,39.0,Public Policy Institute of California,3
president,CA,2012-10-08,53.0,39.0,SurveyUSA,3
president,CA,2012-10-08,58.0,39.0,YouGov,3
president,CA,2012-10-13,53.0,38.0,Princeton Survey Research Associates International,3
president,CA,2012-10-13,53.0,38.0,Princeton Survey Research Associates International,3
president,CA,2012-10-18,53.0,41.0,Public Policy Institute of California,3
president,CA,2012-10-23,54.0,39.0,Field Research Corp. (Field Poll),3
president,CA,2012-11-02,55.0,40.0,YouGov,3
president,CO,2012-09-11,49.0,47.0,American Research Group,3
president,CO,2012-09-11,45.0,44.0,SurveyUSA,3
president,CO,2012-09-11,50.0,45.0,YouGov,3
president,CO,2012-09-14,48.0,47.0,Quinnipiac University,3
president,CO,2012-09-17,50.0,45.0,Marist College,3
president,CO,2012-09-21,50.2,45.5,Gravis Marketing,3
president,CO,2012-09-22,49.0,43.0,Public Policy Polling,3
president,CO,2012-09-26,49.3,45.5,We Ask America,3
president,CO,2012-10-03,45.9,49.4,Gravis Marketing,3
president,CO,2012-10-04,47.0,43.0,Selzer & Co.,3
president,CO,2012-10-06,47.0,48.0,Quinnipiac University,3
president,CO,2012-10-07,46.0,50.0,American Research Group,3
president,CO,2012-10-08,48.4,46.0,Gravis Marketing,3
president,CO,2012-10-08,48.0,45.0,YouGov,3
president,CO,2012-10-09,45.0,46.0,SurveyUSA,3
president,CO,2012-10-15,47.0,48.1,We Ask America,3
president,CO,2012-10-15,47.0,44.0,Grove Insight,3
president,CO,2012-10-17,49.0,44.0,Public Policy Polling,3
president,CO,2012-10-23,46.0,43.0,Grove Insight,3
president,CO,2012-10-23,48.0,48.0,Marist College,3
president,CO,2012-10-24,49.0,46.0,Public Policy Polling,3
president,CO,2012-10-27,47.0,48.0,American Research Group,3
president,CO,2012-10-28,48.0,45.0,Grove Insight,3
president,CO,2012-10-28,48.0,47.0,Big Village,3
president,CO,2012-10-30,50.1,46.7,We Ask America,3
president,CO,2012-10-30,47.0,45.0,SurveyUSA,3
president,CO,2012-10-31,50.0,46.0,Public Policy Polling,3
president,CO,2012-11-01,46.0,46.0,Ipsos,3
president,CO,2012-11-01,43.0,46.0,Ipsos,3
president,CO,2012-11-02,48.0,47.0,YouGov,3
president,CO,2012-11-03,52.0,46.0,Public Policy Polling,3
president,CO,2012-11-04,48.0,47.0,Ipsos,3
president,CT,2012-09-11,53.0,40.0,YouGov,3
president,CT,2012-09-13,53.0,32.0,University of Connecticut,3
president,CT,2012-09-25,54.0,41.0,Public Policy Polling,3
president,CT,2012-09-30,54.0,42.0,Quinnipiac University,3
president,CT,2012-10-08,53.0,39.0,YouGov,3
president,CT,2012-10-09,53.0,38.0,Siena College,3
president,CT,2012-10-13,51.0,37.0,University of Connecticut,3
president,CT,2012-10-15,53.0,44.0,Public Policy Polling,3
president,CT,2012-10-16,49.0,42.0,Mason-Dixon Polling & Strategy,3
president,CT,2012-10-20,53.0,40.0,SurveyUSA,3
president,CT,2012-10-21,55.0,41.0,Quinnipiac University,3
president,CT,2012-11-01,55.0,42.0,Public Policy Polling,3
president,CT,2012-11-02,54.0,39.0,YouGov,3
president,DC,2012-10-13,88.0,8.0,Public Policy Polling,3
president,FL,2012-09-08,48.0,44.0,SurveyUSA,3
president,FL,2012-09-10,49.0,44.0,Marist College,3
president,FL,2012-09-11,49.0,47.0,YouGov,3
president,FL,2012-09-15,47.1,47.7,Gravis Marketing,3
president,FL,2012-09-17,49.0,44.0,Beacon Research/Shaw & Co. Research,3
president,FL,2012-09-18,49.1,45.5,We Ask America,3
president,FL,2012-09-18,48.0,47.0,Mason-Dixon Polling & Strategy,3
president,FL,2012-09-21,50.0,45.0,American Research Group,3
president,FL,2012-09-21,51.0,47.0,ABC News/The Washington Post,3
president,FL,2012-09-21,53.0,44.0,Quinnipiac University,3
president,FL,2012-09-22,50.0,46.0,Public Policy Polling,3
president,FL,2012-09-29,49.0,48.4,Gravis Marketing,3
president,FL,2012-09-29,46.0,43.0,Suffolk University,3
president,FL,2012-09-30,47.0,46.0,Marist College,3
