mode,state,ratioD,ratioR
president,IN,0.800102,1.218733
president,NY,1.189713,0.792412
president,TN,0.730575,1.294810
president,WY,0.526695,1.517900
president,AR,0.684936,1.344750
president,GA,0.959230,1.044611
president,NE,0.769690,1.252010
president,WI,0.963053,1.040428
president,WA,1.146910,0.839248
president,MS,0.796467,1.222710
president,WV,0.578024,1.461735
president,ID,0.653075,1.379613
president,DE,1.141192,0.845505
president,MN,1.026603,0.970891
president,OR,1.115936,0.873140
president,NH,1.028696,0.968601
president,MD,1.282864,0.690485
president,NC,0.943851,1.061439
president,KS,0.813530,1.204039
president,MI,0.984000,1.017507
president,MT,0.796233,1.222966
president,NM,1.062564,0.931541
president,PA,0.968223,1.034771
president,SD,0.699819,1.328464
president,ME,1.046333,0.949302
president,UT,0.752282,1.271058
president,CO,1.089738,0.901807
president,VT,1.311275,0.659397
president,LA,0.775807,1.245317
president,NJ,1.111422,0.878080
president,IA,0.876883,1.134717
president,RI,1.159807,0.825136
president,SC,0.843517,1.171227
president,IL,1.122671,0.865771
president,KY,0.704310,1.323550
president,AK,0.856240,1.157305
president,TX,0.902769,1.106392
president,ND,0.627424,1.407681
president,NV,0.980355,1.021496
president,HI,1.244655,0.732293
president,FL,0.924510,1.082602
president,DC,1.807996,0.115874
president,CA,1.242287,0.734885
president,AZ,0.959948,1.043826
president,AL,0.709836,1.317503
president,CT,1.152069,0.833604
president,MA,1.284519,0.688673
president,VA,1.055601,0.939160
president,MO,0.806977,1.211210
president,OH,0.878923,1.132485
president,OK,0.632732,1.401872
senate,DE,1.243733,0.764904
senate,IA,0.949127,1.049071
senate,WY,0.547153,1.436801
senate,NE,0.570777,1.414013
senate,MN,1.076206,0.926494
senate,MA,1.358262,0.654433
senate,OR,1.204472,0.802773
senate,NJ,1.187571,0.819075
senate,VA,1.141548,0.863468
senate,AK,0.882324,1.113506
senate,AL,0.810693,1.182599
senate,SC,0.912297,1.084596
senate,NH,1.181606,0.824829
senate,RI,1.356261,0.656363
senate,AR,0.000000,1.964566
senate,CO,1.115553,0.888542
senate,GA,0.999821,1.000173
senate,ID,0.706323,1.283270
senate,IL,1.192812,0.814020
senate,KS,0.895778,1.100529
senate,KY,0.811145,1.182163
senate,MI,1.035856,0.965414
senate,MS,0.914950,1.082036
senate,MT,0.916284,1.080750
senate,NM,1.082232,0.920682
senate,NC,0.999766,1.000225
senate,OK,0.697327,1.291948
senate,SD,0.697883,1.291412
senate,TN,0.735564,1.255066
senate,TX,0.917559,1.079519
senate,WV,0.565274,1.419322
senate,ME,0.998056,1.001876
governor,WV,0.705433,1.248074
governor,VT,0.663507,1.283382
governor,WA,1.241178,0.796889
governor,UT,0.711335,1.243104
governor,ND,0.608682,1.329554
governor,NH,0.740963,1.218152
governor,NC,1.143777,0.878916
governor,MO,0.910148,1.075670
governor,MT,0.947062,1.044582
governor,IN,0.791689,1.175432
governor,DE,1.325913,0.725528
house,AL,0.581338,1.448508
house,HI,1.344995,0.630411
house,IA,0.908816,1.097684
house,MD,1.257510,0.724133
house,MN,0.992116,1.008446
house,NY,1.230984,0.752550
house,NE,0.691731,1.330245
house,SC,0.836295,1.175375
house,UT,0.709222,1.311507
house,VA,1.013100,0.985966
house,WA,1.164492,0.823781
house,WI,0.938359,1.066035
house,OR,1.103467,0.889157
house,AK,0.878098,1.130593
house,RI,1.430592,0.538712
house,AZ,0.964007,1.038559
house,AR,0.551437,1.480540
house,CA,1.281375,0.698566
house,CO,1.061853,0.933738
house,CT,1.163631,0.824704
house,FL,0.917806,1.088053
house,GA,0.947465,1.056280
house,ID,0.604769,1.423406
house,IL,1.123912,0.867255
house,IN,0.787514,1.227633
house,MI,0.979598,1.021856
house,MO,0.782521,1.232983
house,MT,0.843251,1.167924
house,NV,0.990312,1.010378
house,NJ,1.120287,0.871138
house,NC,0.972062,1.029930
house,OH,0.830916,1.181138
house,OK,0.605172,1.422974
house,PA,0.950276,1.053269
house,TN,0.765914,1.250773
house,TX,0.874726,1.134204
house,KS,0.808183,1.205491
house,KY,0.677294,1.345711
house,ME,1.120530,0.870878
house,VT,1.405378,0.565724
house,MA,1.508673,0.455065
house,WY,0.510177,1.524741
house,NM,1.060874,0.934786
house,ND,0.551927,1.480016
house,WV,0.627160,1.399419
house,NH,1.042071,0.954930
house,SD,0.000000,2.071288
house,MS,0.662959,1.361068
house,DE,1.138697,0.851416
