cd,h_cd
AL-07,0.0339
AZ-03,0.6462
AZ-07,0.6185
CA-04,0.3224
CA-06,0.2410
CA-07,0.2742
CA-08,0.3528
CA-09,0.4265
CA-10,0.1861
CA-11,0.1502
CA-12,0.2190
CA-13,0.6658
CA-14,0.2403
CA-15,0.2457
CA-16,0.1998
CA-17,0.1575
CA-18,0.6539
CA-19,0.2423
CA-20,0.3851
CA-21,0.6362
CA-22,0.7419
CA-23,0.4587
CA-24,0.3840
CA-25,0.6690
CA-26,0.4484
CA-27,0.4553
CA-28,0.2632
CA-29,0.6569
CA-31,0.6265
CA-33,0.6358
CA-34,0.6528
CA-35,0.6689
CA-37,0.5624
CA-38,0.6102
CA-39,0.6415
CA-40,0.2513
CA-41,0.4027
CA-42,0.6635
CA-43,0.5809
CA-44,0.6114
CA-45,0.3085
CA-46,0.6515
CA-51,0.2664
CA-52,0.6214
FL-09,0.5299
FL-10,0.3027
FL-14,0.2871
FL-15,0.2834
FL-20,0.2453
FL-22,0.2753
FL-24,0.3973
FL-25,0.4500
FL-26,0.7339
FL-27,0.7309
FL-28,0.7306
GA-02,0.0674
GA-04,0.0953
GA-05,0.0774
GA-07,0.2200
GA-13,0.1178
HI-01,0.0946
HI-02,0.1277
IL-01,0.0878
IL-02,0.1534
IL-03,0.4366
IL-04,0.6663
IL-07,0.1692
IN-07,0.1313
LA-02,0.0789
MD-04,0.2473
MD-05,0.0807
MD-07,0.0700
MD-08,0.1832
MA-07,0.2247
MI-12,0.0316
MI-13,0.1020
MS-02,0.0233
MO-01,0.0366
NV-01,0.3747
NV-03,0.2333
NV-04,0.3587
NJ-06,0.2512
NJ-08,0.5174
NJ-09,0.4271
NJ-10,0.2159
NJ-12,0.2128
NM-01,0.4400
NM-02,0.6221
NM-03,0.4445
NY-04,0.2133
NY-05,0.2047
NY-06,0.2701
NY-07,0.3384
NY-08,0.1688
NY-09,0.1194
NY-13,0.5337
NY-14,0.5229
NY-15,0.5607
NY-16,0.2936
NC-01,0.0675
NC-12,0.1389
OH-11,0.0796
PA-02,0.2797
PA-03,0.0609
SC-06,0.0508
TN-09,0.0809
TX-02,0.3282
TX-05,0.3007
TX-06,0.3403
TX-07,0.3452
TX-08,0.3252
TX-09,0.3973
TX-11,0.4195
TX-15,0.8086
TX-16,0.8262
TX-18,0.4649
TX-19,0.4028
TX-20,0.7037
TX-22,0.3038
TX-23,0.6564
TX-27,0.5621
TX-28,0.7719
TX-29,0.7368
TX-30,0.3807
TX-32,0.3695
TX-33,0.6014
TX-34,0.9145
TX-35,0.5367
TX-36,0.3313
TX-37,0.3025
TX-38,0.2752
VA-03,0.0848
VA-04,0.0877
VA-11,0.1495
WA-09,0.1494
WI-04,0.1820
