path_id,state_name,congressional_district_number,d_ratio,r_ratio
101,Alabama,1,0.4543,1.5515
102,Alabama,2,1.1108,0.912
103,Alabama,3,0.5435,1.4647
104,Alabama,4,0.3399,1.6635
105,Alabama,5,0.7203,1.2831
106,Alabama,6,0.625,1.3803
107,Alabama,7,1.2675,0.7603
200,Alaska,0,0.8573,1.0953
401,Arizona,1,0.9932,1.0257
402,Arizona,2,0.8698,1.1442
403,Arizona,3,1.4324,0.5911
404,Arizona,4,1.0897,0.9229
405,Arizona,5,0.8173,1.1938
406,Arizona,6,1.0161,1.0005
407,Arizona,7,1.2521,0.7701
408,Arizona,8,0.8565,1.1586
409,Arizona,9,0.7048,1.3077
501,Arkansas,1,0.5465,1.4396
502,Arkansas,2,0.8495,1.1357
503,Arkansas,3,0.7493,1.2266
504,Arkansas,4,0.603,1.3862
601,California,1,1.1282,0.8488
602,California,2,1.2578,0.7249
603,California,3,1.1048,0.8671
604,California,4,1.1542,0.8281
605,California,5,0.795,1.1861
606,California,6,1.0884,0.8871
607,California,7,1.1344,0.8428
608,California,8,1.3555,0.6303
609,California,9,1.1209,0.8578
610,California,10,1.3484,0.6333
611,California,11,1.6936,0.2827
612,California,12,1.7501,0.2137
613,California,13,1.0118,0.9713
614,California,14,1.3538,0.6151
615,California,15,1.4946,0.488
616,California,16,1.4965,0.4851
617,California,17,1.3936,0.5691
618,California,18,1.2973,0.6871
619,California,19,1.3551,0.6235
620,California,20,0.6781,1.305
621,California,21,1.0696,0.9169
622,California,22,0.9888,0.9956
623,California,23,0.8075,1.1723
624,California,24,1.2613,0.7221
625,California,25,1.0727,0.9231
626,California,26,1.1642,0.8223
627,California,27,1.1048,0.8757
628,California,28,1.2629,0.7169
629,California,29,1.3516,0.6353
630,California,30,1.4139,0.5681
631,California,31,1.1306,0.8512
632,California,32,1.264,0.7237
633,California,33,1.1068,0.8761
634,California,34,1.5126,0.4502
635,California,35,1.0841,0.8956
636,California,36,1.406,0.5787
637,California,37,1.6286,0.3667
638,California,38,1.129,0.8464
639,California,39,1.1023,0.8773
640,California,40,0.8778,1.097
641,California,41,1.1501,0.8311
642,California,42,1.1387,0.8406
643,California,43,1.5089,0.4801
644,California,44,1.3665,0.6191
645,California,45,1.0462,0.9353
646,California,46,1.1702,0.8102
647,California,47,1.1008,0.8653
648,California,48,1.0437,0.9434
649,California,49,1.1298,0.8526
650,California,50,1.1923,0.7898
651,California,51,1.194,0.7918
652,California,52,1.1901,0.8012
801,Colorado,1,1.588,0.4142
802,Colorado,2,1.4183,0.5767
803,Colorado,3,0.9088,1.0767
804,Colorado,4,0.8208,1.1626
805,Colorado,5,0.9131,1.068
806,Colorado,6,1.2103,0.7767
807,Colorado,7,1.1614,0.8255
808,Colorado,8,0.9887,0.9957
901,Connecticut,1,1.2548,0.7576
902,Connecticut,2,1.0978,0.9097
903,Connecticut,3,1.1609,0.8437
904,Connecticut,4,1.2609,0.7538
905,Connecticut,5,1.0768,0.9322
1000,Delaware,0,1.1724,0.8412
1201,Florida,1,0.6395,1.3673
1202,Florida,2,0.8388,1.175
1203,Florida,3,0.8069,1.2066
1204,Florida,4,0.9023,1.1129
1205,Florida,5,0.8016,1.2078
1206,Florida,6,0.7162,1.2988
1207,Florida,7,0.8944,1.118
1208,Florida,8,0.7943,1.2189
1209,Florida,9,1.0594,0.9569
1210,Florida,10,1.2563,0.7625
1211,Florida,11,0.8574,1.158
1212,Florida,12,0.669,1.3432
1213,Florida,13,0.9026,1.1135
1214,Florida,14,1.1028,0.9155
1215,Florida,15,0.9044,1.1019
1216,Florida,16,0.866,1.1505
1217,Florida,17,0.7803,1.2376
1218,Florida,18,0.7228,1.2914
1219,Florida,19,0.7266,1.2904
1220,Florida,20,1.4359,0.5973
1221,Florida,21,0.8564,1.1632
1222,Florida,22,1.0838,0.9393
1223,Florida,23,1.0457,0.9759
1224,Florida,24,1.3374,0.6936
1225,Florida,25,1.0798,0.9403
1226,Florida,26,0.6665,1.3486
1227,Florida,27,0.8753,1.1433
1228,Florida,28,0.7652,1.2522
1301,Georgia,1,0.8659,1.1572
1302,Georgia,2,1.1099,0.9235
1303,Georgia,3,0.7216,1.2963
1304,Georgia,4,1.5674,0.4665
1305,Georgia,5,1.7658,0.275
1306,Georgia,6,1.5437,0.4945
1307,Georgia,7,0.7954,1.2143
1308,Georgia,8,0.7142,1.307
1309,Georgia,9,0.6747,1.3386
1310,Georgia,10,0.8136,1.2065
1311,Georgia,11,0.7839,1.229
1312,Georgia,12,0.8835,1.1413
1313,Georgia,13,1.464,0.5698
1314,Georgia,14,0.6478,1.3668
1501,Hawaii,1,1.2733,0.7383
1502,Hawaii,2,1.2367,0.7659
1601,Idaho,1,0.5433,1.4319
1602,Idaho,2,0.7272,1.242
1701,Illinois,1,1.3539,0.6696
1702,Illinois,2,1.3638,0.6577
1703,Illinois,3,1.3458,0.6749
1704,Illinois,4,1.3131,0.7047
1705,Illinois,5,1.4071,0.6194
1706,Illinois,6,1.0765,0.9338
1707,Illinois,7,1.7001,0.3359
1708,Illinois,8,1.0932,0.9215
1709,Illinois,9,1.4022,0.6256
1710,Illinois,10,1.2495,0.7692
1711,Illinois,11,1.1378,0.874
1712,Illinois,12,0.5702,1.4249
1713,Illinois,13,1.1259,0.8817
1714,Illinois,14,1.0737,0.9372
1715,Illinois,15,0.6062,1.3862
1716,Illinois,16,0.7837,1.2155
1717,Illinois,17,1.0664,0.939
1801,Indiana,1,1.0231,0.9843
1802,Indiana,2,0.7448,1.2546
1803,Indiana,3,0.6947,1.3001
1804,Indiana,4,0.7129,1.2806
1805,Indiana,5,0.8418,1.154
1806,Indiana,6,0.6804,1.313
1807,Indiana,7,1.4471,0.571
1808,Indiana,8,0.6464,1.3475
1809,Indiana,9,0.7088,1.2875
1901,Iowa,1,0.9324,1.0743
1902,Iowa,2,0.9176,1.0906
1903,Iowa,3,0.9762,1.0352
1904,Iowa,4,0.6957,1.3069
2001,Kansas,1,0.6926,1.2996
2002,Kansas,2,0.8119,1.1825
2003,Kansas,3,1.0592,0.945
2004,Kansas,4,0.7763,1.2207
2101,Kentucky,1,0.5323,1.466
2102,Kentucky,2,0.5925,1.4047
2103,Kentucky,3,1.2136,0.7967
2104,Kentucky,4,0.6499,1.3443
2105,Kentucky,5,0.3613,1.6332
2106,Kentucky,6,0.8604,1.1363
2201,Louisiana,1,0.6233,1.366
2202,Louisiana,2,1.3399,0.6694
2203,Louisiana,3,0.5577,1.4401
2204,Louisiana,4,0.483,1.5154
2205,Louisiana,5,0.6443,1.3531
2206,Louisiana,6,1.1741,0.8379
2301,Maine,1,1.2367,0.7655
2302,Maine,2,0.921,1.075
2401,Maryland,1,0.8367,1.1511
2402,Maryland,2,1.1999,0.7932
2403,Maryland,3,1.2505,0.7356
2404,Maryland,4,1.7694,0.2377
2405,Maryland,5,1.3566,0.6473
2406,Maryland,6,1.0681,0.92
2407,Maryland,7,1.6187,0.3864
2408,Maryland,8,1.591,0.4095
2501,Massachusetts,1,1.1545,0.8462
2502,Massachusetts,2,1.2542,0.741
2503,Massachusetts,3,1.2097,0.7921
2504,Massachusetts,4,1.2184,0.7857
2505,Massachusetts,5,1.4764,0.525
2506,Massachusetts,6,1.2294,0.777
2507,Massachusetts,7,1.6559,0.339
2508,Massachusetts,8,1.2868,0.7176
