cd,ratio_d,ratio_r
1,0.636796,1.360169
2,0.833402,1.171251
3,0.804015,1.201365
4,0.898179,1.108211
5,0.796978,1.201566
6,0.713576,1.294318
7,0.890315,1.113030
8,0.852028,1.150572
9,0.838783,1.169243
10,1.264901,0.747440
11,0.859272,1.147360
12,0.861341,1.143345
13,0.883071,1.122867
14,0.911217,1.094158
15,0.813949,1.186509
16,0.880795,1.128287
17,0.795944,1.213812
18,0.847268,1.161213
19,0.712127,1.294720
20,1.406043,0.619956
21,0.855753,1.154788
22,0.913079,1.095965
23,1.164735,0.853443
24,1.422392,0.604497
25,0.927980,1.083116
26,0.834644,1.177474
27,0.872517,1.138125
28,0.762624,1.249548
