cd,ratio_d,ratio_r
1,0.636796,1.360169
2,0.833402,1.171251
3,0.804015,1.201365
4,0.898179,1.108211
5,0.796978,1.201566
6,0.713576,1.294318
7,0.890315,1.113030
8,0.790356,1.213210
9,1.055671,0.953825
10,1.250828,0.759285
11,0.853891,1.153584
12,0.666391,1.338285
13,0.898386,1.108613
14,1.097061,0.910861
15,0.900248,1.097169
16,0.862169,1.145553
17,0.776904,1.232283
18,0.720199,1.287091
19,0.722889,1.284280
20,1.431291,0.595664
21,0.852442,1.158201
22,1.079677,0.935957
23,1.041391,0.972094
24,1.332368,0.691227
25,1.075952,0.937161
26,0.664735,1.344710
27,0.871689,1.138928
28,0.763038,1.248946
