code,h_cd
CA-01,0.2311
CA-02,0.2061
CA-03,0.1484
CA-04,0.3201
CA-05,0.2641
CA-06,0.2304
CA-07,0.2719
CA-08,0.3632
CA-09,0.4213
CA-10,0.1794
CA-11,0.1459
CA-12,0.2361
CA-13,0.6570
CA-14,0.2462
CA-15,0.2605
CA-16,0.1947
CA-17,0.1607
CA-18,0.6547
CA-19,0.2474
CA-20,0.3484
CA-21,0.6433
CA-22,0.7413
CA-23,0.4324
CA-24,0.3901
CA-25,0.6606
CA-26,0.4380
CA-27,0.4359
CA-28,0.2673
CA-29,0.6498
CA-30,0.2349
CA-31,0.6083
CA-32,0.2551
CA-33,0.6280
CA-34,0.6500
CA-35,0.6479
CA-36,0.1625
CA-37,0.5483
CA-38,0.5979
CA-39,0.6225
CA-40,0.2482
CA-41,0.3955
CA-42,0.6548
CA-43,0.5827
CA-44,0.6164
CA-45,0.3072
CA-46,0.6551
CA-47,0.1705
CA-48,0.3011
CA-49,0.2780
CA-50,0.2225
CA-51,0.2535
CA-52,0.5949
MO-01,0.0450
MO-02,0.0327
MO-03,0.0345
MO-04,0.0513
MO-05,0.1135
MO-06,0.0402
MO-07,0.0627
MO-08,0.0246
NC-01,0.0727
NC-02,0.1113
NC-03,0.1161
NC-04,0.1337
NC-05,0.1027
NC-06,0.1005
NC-07,0.0810
NC-08,0.1037
NC-09,0.1309
NC-10,0.0804
NC-11,0.0771
NC-12,0.1517
NC-13,0.1332
NC-14,0.1373
TX-01,0.1738
TX-02,0.3172
TX-03,0.1608
TX-04,0.1486
TX-05,0.3019
TX-06,0.3427
TX-07,0.3081
TX-08,0.3207
TX-09,0.3872
TX-10,0.2492
TX-11,0.3946
TX-12,0.2465
TX-13,0.2855
TX-14,0.2538
TX-15,0.8142
TX-16,0.8218
TX-17,0.2622
TX-18,0.4411
TX-19,0.3875
TX-20,0.7062
TX-21,0.3160
TX-22,0.2925
TX-23,0.6306
TX-24,0.1787
TX-25,0.2285
TX-26,0.1940
TX-27,0.5431
TX-28,0.7497
TX-29,0.7498
TX-30,0.3637
TX-31,0.2348
TX-32,0.3635
TX-33,0.5759
TX-34,0.9055
TX-35,0.5381
TX-36,0.3202
TX-37,0.2786
TX-38,0.2655
UT-01,0.1348
UT-02,0.1926
UT-03,0.1239
UT-04,0.1639
VA-01,0.0554
VA-02,0.0779
VA-03,0.0851
VA-04,0.1008
VA-05,0.0444
VA-06,0.0820
VA-07,0.1751
VA-08,0.2001
VA-09,0.0307
VA-10,0.1840
VA-11,0.1457
