state,cd,ratio_d,ratio_r
CA,1,1.1282,0.8488
CA,2,1.2578,0.7249
CA,3,1.1048,0.8671
CA,4,1.1542,0.8281
CA,5,0.795,1.1861
CA,6,1.0884,0.8871
CA,7,1.1344,0.8428
CA,8,1.3555,0.6303
CA,9,1.1209,0.8578
CA,10,1.3484,0.6333
CA,11,1.6936,0.2827
CA,12,1.7501,0.2137
CA,13,1.0118,0.9713
CA,14,1.3538,0.6151
CA,15,1.4946,0.488
CA,16,1.4965,0.4851
CA,17,1.3936,0.5691
CA,18,1.2973,0.6871
CA,19,1.3551,0.6235
CA,20,0.6781,1.305
CA,21,1.0696,0.9169
CA,22,0.9888,0.9956
CA,23,0.8075,1.1723
CA,24,1.2613,0.7221
CA,25,1.0727,0.9231
CA,26,1.1642,0.8223
CA,27,1.1048,0.8757
CA,28,1.2629,0.7169
CA,29,1.3516,0.6353
CA,30,1.4139,0.5681
CA,31,1.1306,0.8512
CA,32,1.264,0.7237
CA,33,1.1068,0.8761
CA,34,1.5126,0.4502
CA,35,1.0841,0.8956
CA,36,1.406,0.5787
CA,37,1.6286,0.3667
CA,38,1.129,0.8464
CA,39,1.1023,0.8773
CA,40,0.8778,1.097
CA,41,1.1501,0.8311
CA,42,1.1387,0.8406
CA,43,1.5089,0.4801
CA,44,1.3665,0.6191
CA,45,1.0462,0.9353
CA,46,1.1702,0.8102
CA,47,1.1008,0.8653
CA,48,1.0437,0.9434
CA,49,1.1298,0.8526
CA,50,1.1923,0.7898
CA,51,1.194,0.7918
CA,52,1.1901,0.8012
MO,1,1.6118,0.408
MO,2,0.9,1.1012
MO,3,0.8128,1.1892
MO,4,0.8031,1.2022
MO,5,0.8298,1.1733
MO,6,0.7453,1.2576
MO,7,0.581,1.4199
MO,8,0.4673,1.5353
NC,1,0.9043,1.1096
NC,2,1.3621,0.6448
NC,3,0.883,1.1299
NC,4,1.4805,0.5305
NC,5,0.8387,1.1687
NC,6,0.8422,1.16
NC,7,0.8795,1.1313
NC,8,0.8205,1.1841
NC,9,0.8578,1.1496
NC,10,0.8389,1.1681
NC,11,0.9211,1.0835
NC,12,1.4841,0.5185
NC,13,0.8501,1.1552
NC,14,0.8658,1.1412
TX,1,0.5139,1.4916
TX,2,0.7853,1.2201
TX,3,0.7658,1.2114
TX,4,0.7582,1.2299
TX,5,0.7983,1.207
TX,6,0.7805,1.2163
TX,7,1.2476,0.7398
TX,8,0.7356,1.2683
TX,9,0.8199,1.1944
TX,10,0.7853,1.2147
TX,11,0.666,1.3347
TX,12,0.7758,1.2317
TX,13,0.5462,1.4566
TX,14,0.7712,1.2353
TX,15,0.8414,1.1747
TX,16,1.1892,0.8245
TX,17,0.795,1.2046
TX,18,1.5882,0.438
TX,19,0.4903,1.5129
TX,20,1.3141,0.7034
TX,21,0.7961,1.21
TX,22,0.7824,1.2034
TX,23,0.8694,1.1402
TX,24,0.8495,1.1468
TX,25,0.7739,1.2337
TX,26,0.7745,1.2289
TX,27,0.8029,1.2038
TX,28,0.9197,1.1002
TX,29,1.336,0.6849
TX,30,1.5054,0.5157
TX,31,0.7938,1.2076
TX,32,0.8288,1.1594
TX,33,1.3495,0.6544
TX,34,0.9207,1.0964
TX,35,0.9145,1.0966
TX,36,0.7629,1.2406
TX,37,1.5909,0.4139
TX,38,0.7996,1.1954
UT,1,1.2497,0.7378
UT,2,0.7021,1.262
UT,3,0.5814,1.3946
UT,4,0.6696,1.3018
VA,1,0.4689,1.5329
VA,2,1.1499,0.858
VA,3,1.206,0.805
VA,4,1.142,0.8731
VA,5,1.0911,0.91
VA,6,1.1159,0.8759
VA,7,1.1021,0.9
VA,8,1.1209,0.8701
VA,9,1.1149,0.8759
VA,10,1.1201,0.8651
VA,11,1.206,0.7731
