mode,state,date,dem,rep,pollster,sigma
governor,AK,2002-10-15,34.0,50.0,Moore Information Group,3
governor,AR,2002-09-19,37.0,49.0,Zogby Analytics,3
governor,AR,2002-10-10,40.0,50.0,Zogby Analytics,3
governor,AR,2002-11-01,40.0,55.0,Gallup,3
governor,AR,2002-11-03,41.0,50.0,Zogby Analytics,3
governor,AZ,2002-09-26,43.0,42.0,SurveyUSA,3
governor,AZ,2002-10-09,44.0,40.0,SurveyUSA,3
governor,AZ,2002-10-23,42.0,43.0,SurveyUSA,3
governor,AZ,2002-10-30,43.0,41.0,SurveyUSA,3
governor,CA,2002-09-16,40.0,32.0,Public Policy Institute of California,3
governor,CA,2002-09-22,47.0,35.0,SurveyUSA,3
governor,CA,2002-09-27,45.0,35.0,Los Angeles Times,3
governor,CA,2002-10-05,44.0,37.0,SurveyUSA,3
governor,CA,2002-10-11,41.0,31.0,Public Policy Institute of California,3
governor,CA,2002-10-12,48.0,33.0,SurveyUSA,3
governor,CA,2002-10-19,47.0,36.0,SurveyUSA,3
governor,CA,2002-10-24,45.0,36.0,Los Angeles Times,3
governor,CA,2002-10-26,48.0,37.0,SurveyUSA,3
governor,CA,2002-10-27,41.0,34.0,Field Research Corp. (Field Poll),3
governor,CA,2002-10-28,42.0,39.0,Tarrance Group,3
governor,CA,2002-11-02,45.0,39.0,SurveyUSA,3
governor,CO,2002-09-17,20.0,58.0,Zogby Analytics,3
governor,CO,2002-10-10,18.0,60.0,Zogby Analytics,3
governor,CO,2002-10-11,21.0,64.0,Ciruli Associates,3
governor,CO,2002-10-21,28.0,56.0,Ciruli Associates,3
governor,CO,2002-10-22,25.0,62.0,Ciruli Associates,3
governor,CO,2002-10-27,24.0,60.0,Ciruli Associates,3
governor,CO,2002-10-31,26.0,62.0,Ciruli Associates,3
governor,CO,2002-11-01,28.0,60.0,Zogby Analytics,3
governor,CO,2002-11-01,32.0,62.0,Gallup,3
governor,CT,2002-09-15,31.0,44.0,University of Connecticut,3
governor,CT,2002-09-23,31.0,47.0,University of Connecticut,3
governor,CT,2002-09-27,37.0,59.0,Quinnipiac University,3
governor,CT,2002-09-30,34.0,48.0,University of Connecticut,3
governor,CT,2002-10-06,31.0,49.0,University of Connecticut,3
governor,CT,2002-10-17,34.0,49.0,University of Connecticut,3
governor,CT,2002-10-24,38.0,55.0,Quinnipiac University,3
governor,FL,2002-09-20,39.0,49.0,Zogby Analytics,3
governor,FL,2002-09-23,43.0,49.0,Mason-Dixon Polling & Strategy,3
governor,FL,2002-09-25,48.0,49.0,SurveyUSA,3
governor,FL,2002-10-09,45.0,48.0,Zogby Analytics,3
governor,FL,2002-10-09,47.0,50.0,SurveyUSA,3
governor,FL,2002-10-19,44.0,49.0,Mason-Dixon Polling & Strategy,3
governor,FL,2002-10-23,45.0,52.0,SurveyUSA,3
governor,FL,2002-10-24,43.0,49.0,Fleming & Associates,3
governor,FL,2002-10-29,43.0,51.0,Mason-Dixon Polling & Strategy,3
governor,FL,2002-11-01,39.0,55.0,Zogby Analytics,3
governor,FL,2002-11-03,46.0,51.0,SurveyUSA,3
governor,GA,2002-10-16,48.0,39.0,Mason-Dixon Polling & Strategy,3
governor,IA,2002-09-23,51.0,33.0,Selzer & Co.,3
governor,IA,2002-09-24,50.0,46.0,SurveyUSA,3
governor,IA,2002-10-07,50.0,46.0,SurveyUSA,3
governor,IA,2002-10-21,55.0,41.0,SurveyUSA,3
governor,IA,2002-10-28,56.0,42.0,SurveyUSA,3
governor,IA,2002-10-31,52.0,40.0,Selzer & Co.,3
governor,IL,2002-09-11,57.0,33.0,SurveyUSA,3
governor,IL,2002-09-16,47.0,42.0,Mason-Dixon Polling & Strategy,3
governor,IL,2002-09-18,51.0,32.0,Zogby Analytics,3
governor,IL,2002-09-25,56.0,37.0,SurveyUSA,3
governor,IL,2002-09-29,51.0,35.0,Market Shares Corp.,3
governor,IL,2002-10-08,48.0,37.0,Zogby Analytics,3
governor,IL,2002-10-08,55.0,36.0,SurveyUSA,3
governor,IL,2002-10-22,49.0,40.0,Mason-Dixon Polling & Strategy,3
governor,IL,2002-10-22,52.0,40.0,SurveyUSA,3
governor,IL,2002-10-23,50.0,38.0,KRC Research,3
governor,IL,2002-10-26,47.0,37.0,Market Shares Corp.,3
governor,IL,2002-10-29,53.0,39.0,SurveyUSA,3
governor,IL,2002-10-31,43.2,43.5,Zogby Analytics,3
governor,KS,2002-09-14,55.0,38.0,SurveyUSA,3
governor,KS,2002-09-28,57.0,37.0,SurveyUSA,3
