mode,state,ratioD,ratioR
president,AL,0.727330,1.317151
president,AK,0.724096,1.320913
president,AZ,0.849646,1.174882
president,AR,0.740705,1.301595
president,CA,1.158221,0.815967
president,CO,1.014504,0.983130
president,CT,1.140366,0.836736
president,DE,1.164911,0.808187
president,DC,1.737018,0.142750
president,FL,0.956275,1.050858
president,GA,0.880993,1.138421
president,HI,1.357498,0.584182
president,ID,0.687649,1.363306
president,IL,1.166698,0.806108
president,IN,0.939580,1.070276
president,IA,1.020048,0.976681
president,KS,0.788304,1.246230
president,KY,0.776752,1.259667
president,LA,0.753994,1.286138
president,ME,1.094080,0.890572
president,MD,1.170340,0.801872
president,MA,1.175305,0.796096
president,MI,1.085558,0.900484
president,MN,1.027126,0.968448
president,MS,0.806350,1.225241
president,MO,0.928616,1.083029
president,MT,0.908125,1.106862
president,NE,0.788364,1.246161
president,NV,1.048650,0.943413
president,NH,1.020416,0.976254
president,NJ,1.076135,0.911444
president,NM,1.072421,0.915765
president,NY,1.223041,0.740573
president,NC,0.932960,1.077977
president,ND,0.847883,1.176932
president,OH,0.973277,1.031083
president,OK,0.638914,1.419991
president,OR,1.086347,0.899567
president,PA,1.027133,0.968441
president,RI,1.193923,0.774442
president,SC,0.845358,1.179869
president,SD,0.849984,1.174489
president,TN,0.787947,1.246646
president,TX,0.819480,1.209969
president,UT,0.659720,1.395791
president,VT,1.281350,0.672752
president,VA,0.989061,1.012723
president,WA,1.092639,0.892249
president,WV,0.805759,1.225929
president,WI,1.061091,0.928943
president,WY,0.621862,1.439825
senate,AL,0.727330,1.317151
senate,AK,0.724096,1.320913
senate,AZ,0.849646,1.174882
senate,AR,0.740705,1.301595
senate,CA,1.158221,0.815967
senate,CO,1.014504,0.983130
senate,CT,1.140366,0.836736
senate,DE,1.164911,0.808187
senate,DC,1.737018,0.142750
senate,FL,0.956275,1.050858
senate,GA,0.880993,1.138421
senate,HI,1.357498,0.584182
senate,ID,0.687649,1.363306
senate,IL,1.166698,0.806108
senate,IN,0.939580,1.070276
senate,IA,1.020048,0.976681
senate,KS,0.788304,1.246230
senate,KY,0.776752,1.259667
senate,LA,0.753994,1.286138
senate,ME,1.094080,0.890572
senate,MD,1.170340,0.801872
senate,MA,1.175305,0.796096
senate,MI,1.085558,0.900484
senate,MN,1.027126,0.968448
senate,MS,0.806350,1.225241
senate,MO,0.928616,1.083029
senate,MT,0.908125,1.106862
senate,NE,0.788364,1.246161
senate,NV,1.048650,0.943413
senate,NH,1.020416,0.976254
senate,NJ,1.076135,0.911444
senate,NM,1.072421,0.915765
senate,NY,1.223041,0.740573
senate,NC,0.932960,1.077977
senate,ND,0.847883,1.176932
senate,OH,0.973277,1.031083
senate,OK,0.638914,1.419991
senate,OR,1.086347,0.899567
senate,PA,1.027133,0.968441
senate,RI,1.193923,0.774442
senate,SC,0.845358,1.179869
senate,SD,0.849984,1.174489
senate,TN,0.787947,1.246646
senate,TX,0.819480,1.209969
senate,UT,0.659720,1.395791
senate,VT,1.281350,0.672752
senate,VA,0.989061,1.012723
senate,WA,1.092639,0.892249
senate,WV,0.805759,1.225929
senate,WI,1.061091,0.928943
senate,WY,0.621862,1.439825
governor,AL,0.727330,1.317151
governor,AK,0.724096,1.320913
governor,AZ,0.849646,1.174882
governor,AR,0.740705,1.301595
governor,CA,1.158221,0.815967
governor,CO,1.014504,0.983130
governor,CT,1.140366,0.836736
governor,DE,1.164911,0.808187
governor,DC,1.737018,0.142750
governor,FL,0.956275,1.050858
governor,GA,0.880993,1.138421
governor,HI,1.357498,0.584182
governor,ID,0.687649,1.363306
governor,IL,1.166698,0.806108
governor,IN,0.939580,1.070276
governor,IA,1.020048,0.976681
governor,KS,0.788304,1.246230
governor,KY,0.776752,1.259667
governor,LA,0.753994,1.286138
governor,ME,1.094080,0.890572
governor,MD,1.170340,0.801872
governor,MA,1.175305,0.796096
governor,MI,1.085558,0.900484
governor,MN,1.027126,0.968448
governor,MS,0.806350,1.225241
governor,MO,0.928616,1.083029
governor,MT,0.908125,1.106862
governor,NE,0.788364,1.246161
governor,NV,1.048650,0.943413
governor,NH,1.020416,0.976254
governor,NJ,1.076135,0.911444
governor,NM,1.072421,0.915765
governor,NY,1.223041,0.740573
governor,NC,0.932960,1.077977
governor,ND,0.847883,1.176932
governor,OH,0.973277,1.031083
governor,OK,0.638914,1.419991
governor,OR,1.086347,0.899567
governor,PA,1.027133,0.968441
governor,RI,1.193923,0.774442
governor,SC,0.845358,1.179869
governor,SD,0.849984,1.174489
governor,TN,0.787947,1.246646
governor,TX,0.819480,1.209969
governor,UT,0.659720,1.395791
governor,VT,1.281350,0.672752
governor,VA,0.989061,1.012723
governor,WA,1.092639,0.892249
governor,WV,0.805759,1.225929
governor,WI,1.061091,0.928943
governor,WY,0.621862,1.439825
