GEOID,hispanic,total,h_share
01001,1525,48912,0.031178
01002,2465,51119,0.048221
01003,2289,50275,0.04553
01004,4255,50356,0.084498
01005,3909,52200,0.074885
01006,1905,50398,0.037799
01007,1462,46370,0.031529
01008,8226,47810,0.172056
01009,1704,45381,0.037549
01010,4064,49879,0.081477
01011,4103,49557,0.082794
01012,1483,47184,0.03143
01013,2106,48748,0.043202
01014,763,47365,0.016109
01015,2497,50175,0.049766
01016,965,45558,0.021182
01017,1802,47869,0.037644
01018,6855,46116,0.148647
01019,3096,55550,0.055734
01020,2590,49362,0.05247
01021,2072,53367,0.038825
01022,1357,50138,0.027065
01023,1751,50132,0.034928
01024,6028,49823,0.120988
01025,3894,51075,0.076241
01026,13373,49237,0.271605
01027,2987,49475,0.060374
01028,3963,49539,0.079998
01029,905,48194,0.018778
01030,1354,43613,0.031046
01031,1187,49244,0.024104
01032,1217,43915,0.027713
01033,1180,44996,0.026225
01034,4299,44899,0.095748
01035,2044,48793,0.041891
01036,1881,51486,0.036534
01037,1803,47273,0.03814
01038,2482,49634,0.050006
01039,6396,47347,0.135088
01040,1747,48326,0.03615
01041,2756,50481,0.054595
01042,2393,50828,0.04708
01043,2148,49461,0.043428
01044,2091,49043,0.042636
01045,3493,48336,0.072265
01046,1704,49737,0.03426
01047,3322,50617,0.06563
01048,1071,42007,0.025496
01049,6412,51040,0.125627
01050,1268,49223,0.02576
01051,1305,43876,0.029743
01052,3998,50328,0.079439
01053,7064,50698,0.139335
01054,1916,43759,0.043785
01055,1866,44602,0.041837
01056,3316,47425,0.069921
01057,3508,46685,0.075142
01058,2640,45308,0.058268
01059,3521,43424,0.081084
01060,801,47764,0.01677
01061,2097,45693,0.045893
01062,3006,49358,0.060902
01063,3053,50916,0.059962
01064,4337,57272,0.075726
01065,636,46628,0.01364
01066,1029,49562,0.020762
01067,358,44629,0.008022
01068,206,46516,0.004429
01069,1160,49054,0.023647
01070,2864,48543,0.058999
01071,2372,48666,0.04874
01072,630,49524,0.012721
01073,6517,48994,0.133016
01074,2120,46442,0.045648
01075,1654,48427,0.034155
01076,1745,44790,0.03896
01077,3581,46058,0.07775
01078,1528,45756,0.033395
01079,2256,53243,0.042372
01080,2789,52008,0.053626
01081,1515,46480,0.032595
01082,1618,44402,0.03644
01083,2559,46518,0.055011
01084,3176,48658,0.065272
01085,1330,46366,0.028685
01086,2059,46702,0.044088
01087,2486,48947,0.05079
01088,2319,46022,0.050389
01089,2647,45898,0.057671
01090,958,45236,0.021178
01091,4926,47728,0.10321
01092,1005,46270,0.02172
01093,2205,46360,0.047563
01094,2740,49939,0.054867
01095,2938,50321,0.058385
01096,2750,48698,0.05647
01097,617,44650,0.013819
01098,697,48227,0.014452
01099,1162,45523,0.025526
01100,1890,48473,0.038991
01101,2543,44892,0.056647
01102,846,50148,0.01687
01103,2269,46331,0.048974
01104,2264,47472,0.047691
01105,1606,46581,0.034478
02001,906,17699,0.051189
02002,1288,17914,0.071899
02003,790,17763,0.044474
02004,1602,18290,0.087589
02005,1210,18126,0.066755
02006,751,19672,0.038176
02007,1086,18270,0.059442
02008,558,18431,0.030275
02009,1052,17450,0.060287
02010,1808,18132,0.099713
