state,cd,ratio_d,ratio_r
CA,1,0.7478,1.2241
CA,2,1.4702,0.5279
CA,3,0.9743,1.0004
CA,4,1.3273,0.656
CA,5,0.8246,1.1618
CA,6,1.1373,0.8303
CA,7,1.3126,0.6715
CA,8,1.454,0.5408
CA,9,0.9952,0.9906
CA,10,1.3458,0.6289
CA,11,1.6977,0.2857
CA,12,1.7607,0.2281
CA,13,0.9551,1.0203
CA,14,1.3642,0.6118
CA,15,1.4892,0.4867
CA,16,1.4996,0.488
CA,17,1.3801,0.5805
CA,18,1.3039,0.6767
CA,19,1.3398,0.6173
CA,20,0.7072,1.2755
CA,21,1.0646,0.9438
CA,22,0.9553,1.043
CA,23,0.8269,1.1542
CA,24,1.2648,0.7167
CA,25,1.0412,0.958
CA,26,1.1327,0.8478
CA,27,1.0453,0.9406
CA,28,1.2899,0.7106
CA,29,1.3729,0.6245
CA,30,1.4344,0.5534
CA,31,1.1822,0.8092
CA,32,1.3327,0.6592
CA,33,1.0981,0.8847
CA,34,1.5112,0.4426
CA,35,1.1085,0.8661
CA,36,1.4141,0.5783
CA,37,1.6273,0.3629
CA,38,1.1621,0.8116
CA,39,1.1058,0.8741
CA,40,0.9758,0.9936
CA,41,0.9493,1.0462
CA,42,1.3197,0.6496
CA,43,1.5149,0.4733
CA,44,1.3547,0.6392
CA,45,1.0172,0.9709
CA,46,1.1801,0.7988
CA,47,1.0395,0.9263
CA,48,0.8518,1.1193
CA,49,1.0812,0.9076
CA,50,1.3012,0.6884
CA,51,1.2416,0.7398
CA,52,1.2253,0.7588
MO,1,1.6077,0.4122
MO,2,0.9356,1.0663
MO,3,0.7429,1.2582
MO,4,0.5841,1.4159
MO,5,1.2565,0.7536
MO,6,0.6205,1.3821
MO,7,0.5816,1.4193
MO,8,0.4663,1.5361
NC,1,0.9932,1.0253
NC,2,1.3708,0.641
NC,3,0.7975,1.2114
NC,4,1.4867,0.5327
NC,5,0.8364,1.1691
NC,6,0.8509,1.1669
NC,7,0.8803,1.1307
NC,8,0.8195,1.1876
NC,9,0.8636,1.1546
NC,10,0.8387,1.1683
NC,11,0.9213,1.0835
NC,12,1.4952,0.5219
NC,13,0.8511,1.1641
NC,14,0.8683,1.1458
TX,1,0.4969,1.511
TX,2,0.7762,1.2301
TX,3,0.7998,1.1779
TX,4,0.6805,1.3139
TX,5,0.742,1.2624
TX,6,0.7277,1.2781
TX,7,1.218,0.7651
TX,8,0.6712,1.3309
TX,9,1.4747,0.5458
TX,10,0.7629,1.2376
TX,11,0.5553,1.4506
TX,12,0.7888,1.2185
TX,13,0.5298,1.4727
TX,14,0.6723,1.3349
TX,15,0.8418,1.1747
TX,16,1.1851,0.8287
TX,17,0.7209,1.2855
TX,18,1.4313,0.5896
TX,19,0.4905,1.5133
TX,20,1.2404,0.7767
TX,21,0.777,1.2279
TX,22,0.8112,1.1779
TX,23,0.8625,1.1482
TX,24,0.8551,1.14
TX,25,0.6468,1.3562
TX,26,0.7781,1.2247
TX,27,0.7186,1.2922
TX,28,0.9487,1.0669
TX,29,1.2335,0.7869
TX,30,1.5025,0.5175
TX,31,0.7795,1.2227
TX,32,1.2493,0.7371
TX,33,1.3573,0.6402
TX,34,0.9807,1.0402
TX,35,1.3631,0.6476
TX,36,0.6429,1.362
TX,37,1.5161,0.4863
TX,38,0.8023,1.1934
UT,1,0.7971,1.1755
UT,2,0.7983,1.1823
UT,3,0.8064,1.1699
UT,4,0.7294,1.2432
VA,1,0.966,1.0357
VA,2,1.0157,0.9906
VA,3,1.3747,0.6394
VA,4,1.3542,0.659
VA,5,0.8938,1.1124
VA,6,0.7696,1.2299
VA,7,1.0412,0.9526
VA,8,1.5122,0.4771
VA,9,0.5687,1.4333
VA,10,1.0888,0.8892
VA,11,1.3495,0.6261
