GEOID,hispanic,total,h_share
0200A,2338,36485,0.064081
0200B,2507,35577,0.070467
0200C,2130,36581,0.058227
0200D,1728,37654,0.045892
0200E,3098,34231,0.090503
0200F,3409,36723,0.09283
0200G,3684,36040,0.10222
0200H,2716,37568,0.072296
0200I,2902,33026,0.08787
0200J,4954,38828,0.127588
0200K,3182,31448,0.101183
0200L,4221,43112,0.097908
0200M,2024,33715,0.060033
0200N,2262,35398,0.063902
0200O,2162,46317,0.046678
0200P,3674,36432,0.100845
0200Q,2777,32914,0.084371
0200R,2335,41123,0.056781
0200S,1856,34581,0.053671
0200T,881,36340,0.024243
01001,5712,147979,0.0386
01002,8243,136863,0.060228
01003,12260,153038,0.080111
01004,5614,141142,0.039776
01005,2727,135323,0.020152
01006,11679,158192,0.073828
01007,7057,149887,0.047082
01008,10723,152923,0.07012
01009,18903,147094,0.12851
01010,8637,146955,0.058773
01011,3894,146455,0.026588
01012,5356,149793,0.035756
01013,5308,153103,0.034669
01014,11186,141346,0.079139
01015,4841,134932,0.035877
01016,6958,144455,0.048167
01017,6823,138192,0.049373
01018,6505,140392,0.046335
01019,5246,139710,0.037549
01020,7258,136673,0.053105
01021,7241,145112,0.049899
01022,4909,140005,0.035063
01023,1334,140830,0.009472
01024,3275,145379,0.022527
01025,3452,146875,0.023503
01026,6566,142965,0.045927
01027,4597,144621,0.031787
01028,6940,146421,0.047398
01029,6904,142273,0.048526
01030,5329,142419,0.037418
01031,6863,137263,0.049999
01032,7434,154026,0.048265
01033,3272,133652,0.024481
01034,4216,137316,0.030703
01035,5145,134488,0.038256
05001,5129,84182,0.060928
05002,2885,84831,0.034009
05003,5045,84727,0.059544
05004,9270,85846,0.107984
05005,6617,84605,0.078211
05006,5236,88706,0.059026
05007,4758,89950,0.052896
05008,2699,90268,0.0299
05009,2856,84159,0.033936
05010,2132,88149,0.024186
05011,4624,88561,0.052213
05012,5235,79371,0.065956
05013,3013,87101,0.034592
05014,2799,90554,0.03091
05015,12222,88128,0.138685
05016,4241,80984,0.052368
05017,3964,92706,0.042759
05018,4027,85566,0.047063
05019,3551,88914,0.039937
05020,5255,84952,0.061858
05021,2142,85832,0.024956
05022,3675,87069,0.042208
05023,2129,88228,0.024131
05024,3011,88196,0.03414
05025,8827,88371,0.099886
05026,6536,85819,0.07616
05027,17137,86047,0.199159
05028,6649,82636,0.080461
05029,6418,85807,0.074796
05030,7080,89736,0.078898
05031,30425,81708,0.372363
05032,24282,81187,0.299087
05033,12736,85461,0.149027
05034,6838,87102,0.078506
05035,9878,83210,0.118712
04001,36358,239795,0.151621
04002,55184,231679,0.238192
04003,17736,228906,0.077482
04004,26282,234275,0.112184
04005,97762,257033,0.380348
04006,21438,218427,0.098147
04007,51072,252346,0.202389
04008,65597,253348,0.258921
